time,deviceName,max_dB,class_label,average_dB,stdev,rssi,snr
2025-12-15 04:19:45,INMP441,62.0,Background Noise,58.5,1.5,-107,8.0
2025-12-15 04:20:45,INMP441,62.8,Background Noise,58.4,1.71,-106,9.0
2025-12-15 04:22:45,INMP441,63.0,Background Noise,58.5,1.52,-108,7.3
2025-12-15 04:23:46,INMP441,63.0,Background Noise,58.6,1.58,-110,4.8
2025-12-15 04:24:46,INMP441,63.1,Background Noise,58.3,1.59,-108,7.3
2025-12-15 04:25:46,INMP441,63.0,Background Noise,58.4,1.7,-106,5.8
2025-12-15 04:26:46,INMP441,62.1,Background Noise,58.4,1.65,-109,6.5
2025-12-15 04:27:46,INMP441,62.5,People,58.4,1.46,-108,7.3
2025-12-15 04:28:46,INMP441,62.4,Background Noise,58.4,1.63,-107,8.8
2025-12-15 04:29:46,INMP441,62.7,People,58.5,1.53,-107,6.5
2025-12-15 04:30:46,INMP441,62.5,Background Noise,58.4,1.54,-107,8.0
2025-12-15 04:31:46,INMP441,62.8,Background Noise,58.4,1.55,-106,9.3
2025-12-15 04:32:46,INMP441,62.4,Background Noise,58.3,1.47,-110,5.0
2025-12-15 04:33:46,INMP441,62.1,People,58.5,1.62,-113,-0.3
2025-12-15 04:34:46,INMP441,62.4,Background Noise,58.4,1.56,-110,5.3
2025-12-15 04:35:46,INMP441,63.0,Background Noise,58.4,1.55,-106,9.3
2025-12-15 04:36:46,INMP441,62.5,People,58.6,1.59,-107,6.3
2025-12-15 04:37:46,INMP441,62.1,People,58.3,1.65,-106,9.3
2025-12-15 04:38:46,INMP441,63.1,Background Noise,58.4,1.58,-110,5.3
2025-12-15 04:39:46,INMP441,62.0,Background Noise,58.4,1.48,-116,-2.3
2025-12-15 04:40:46,INMP441,63.3,Background Noise,58.7,1.68,-108,7.0
2025-12-15 04:41:46,INMP441,63.4,Background Noise,58.6,1.58,-109,6.8
2025-12-15 04:42:46,INMP441,63.0,People,58.4,1.52,-110,5.3
2025-12-15 04:43:46,INMP441,61.9,Background Noise,58.5,1.45,-109,6.8
2025-12-15 04:44:46,INMP441,62.6,Background Noise,58.4,1.52,-106,9.0
2025-12-15 04:45:46,INMP441,61.9,Background Noise,58.4,1.54,-108,5.8
2025-12-15 04:46:46,INMP441,61.5,People,58.5,1.5,-108,7.3
2025-12-15 04:47:46,INMP441,62.5,People,58.4,1.65,-105,9.5
2025-12-15 04:48:47,INMP441,62.1,Background Noise,58.4,1.51,-115,-4.5
2025-12-15 04:49:47,INMP441,63.3,Background Noise,58.4,1.57,-109,6.5
2025-12-15 04:50:47,INMP441,62.6,Background Noise,58.4,1.68,-114,
2025-12-15 04:51:47,INMP441,62.8,Background Noise,58.3,1.57,-107,5.5
2025-12-15 04:52:47,INMP441,62.5,Background Noise,58.3,1.63,-105,8.3
2025-12-15 04:53:47,INMP441,63.2,Background Noise,58.6,1.69,-114,-4.8
2025-12-15 04:54:47,INMP441,62.2,People,58.6,1.54,-108,6.8
2025-12-15 04:55:47,INMP441,62.6,Background Noise,58.4,1.46,-110,3.5
2025-12-15 04:56:47,INMP441,62.9,People,58.3,1.69,-106,8.5
2025-12-15 04:57:47,INMP441,62.7,People,58.6,1.74,-106,7.5
2025-12-15 04:58:47,INMP441,62.5,People,58.4,1.6,-109,4.0
2025-12-15 04:59:47,INMP441,62.1,Background Noise,58.4,1.68,-112,2.8
2025-12-15 05:00:47,INMP441,62.8,Background Noise,58.4,1.59,-106,8.3
2025-12-15 05:01:47,INMP441,63.5,Background Noise,58.5,1.68,-105,7.8
2025-12-15 05:02:47,INMP441,62.0,People,58.6,1.65,-105,6.5
2025-12-15 05:03:47,INMP441,62.1,Background Noise,58.5,1.53,-115,-2.8
2025-12-15 05:04:47,INMP441,62.1,Background Noise,58.6,1.57,-106,8.3
2025-12-15 05:05:47,INMP441,63.0,Background Noise,58.6,1.54,-108,7.0
2025-12-15 05:06:47,INMP441,61.7,Background Noise,58.4,1.66,-107,5.8
2025-12-15 05:07:47,INMP441,62.7,People,58.4,1.73,-106,8.0
2025-12-15 05:08:47,INMP441,61.8,Background Noise,58.4,1.6,-107,7.5
2025-12-15 05:09:47,INMP441,61.8,People,58.5,1.47,-110,4.0
2025-12-15 05:10:47,INMP441,62.6,Background Noise,58.5,1.54,-107,5.0
2025-12-15 05:11:48,INMP441,63.1,People,58.6,1.57,-107,8.3
2025-12-15 05:12:48,INMP441,63.4,Background Noise,58.7,1.48,-114,-0.8
2025-12-15 05:13:48,INMP441,62.4,Background Noise,58.5,1.65,-106,8.3
2025-12-15 05:14:48,INMP441,62.9,People,58.4,1.7,-109,4.5
2025-12-15 05:15:48,INMP441,62.9,People,58.5,1.52,-110,3.0
2025-12-15 05:16:48,INMP441,62.3,Background Noise,58.3,1.57,-106,8.5
2025-12-15 05:17:48,INMP441,62.5,Background Noise,58.6,1.68,-109,6.0
2025-12-15 05:18:48,INMP441,62.0,Background Noise,58.7,1.58,-109,6.0
2025-12-15 05:19:48,INMP441,62.2,Background Noise,58.5,1.5,-106,8.3
2025-12-15 05:20:48,INMP441,62.6,Background Noise,58.4,1.65,-116,-3.3
2025-12-15 05:21:48,INMP441,63.3,Background Noise,58.6,1.63,-107,5.3
2025-12-15 05:22:48,INMP441,62.6,People,58.3,1.65,-111,3.8
2025-12-15 05:23:48,INMP441,63.2,People,58.5,1.69,-115,-2.3
2025-12-15 05:24:48,INMP441,62.7,People,58.6,1.5,-109,6.0
2025-12-15 05:25:48,INMP441,62.0,Background Noise,58.5,1.51,-108,6.3
2025-12-15 05:26:48,INMP441,62.5,People,58.4,1.55,-106,5.0
2025-12-15 05:27:48,INMP441,63.0,Background Noise,58.6,1.6,-106,4.8
